regime,Win_AIC,PearsonVII,StudentT
High,Normal,0.037037037037037035,
High,PearsonVII,0.7160493827160493,
High,StudentT,0.1728395061728395,0.07407407407407407
Low,PearsonVII,0.7159090909090909,
Low,StudentT,0.2159090909090909,0.06818181818181818
Medium,PearsonVII,0.6635514018691588,
Medium,StudentT,0.2336448598130841,0.102803738317757
